Point_Group;MaxEStateIndex;MinEStateIndex;MaxAbsEStateIndex;MinAbsEStateIndex;qed;MolWt;HeavyAtomMolWt;ExactMolWt;NumValenceElectrons;NumRadicalElectrons;MaxPartialCharge;MinPartialCharge;MaxAbsPartialCharge;MinAbsPartialCharge;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;HallKierAlpha;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;SMR_VSA1;SMR_VSA10;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;TPSA;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;FractionCSP3;HeavyAtomCount;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;RingCount;MolLogP;MolMR;fr_Al_COO;fr_Al_OH;fr_Al_OH_noTert;fr_ArN;fr_Ar_COO;fr_Ar_N;fr_Ar_NH;fr_Ar_OH;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_C_S;fr_HOCCN;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_N_O;fr_Ndealkylation1;fr_Ndealkylation2;fr_Nhpyrrole;fr_SH;fr_aldehyde;fr_alkyl_carbamate;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_amidine;fr_aniline;fr_aryl_methyl;fr_azide;fr_azo;fr_barbitur;fr_benzene;fr_benzodiazepine;fr_bicyclic;fr_diazo;fr_dihydropyridine;fr_epoxide;fr_ester;fr_ether;fr_furan;fr_guanido;fr_halogen;fr_hdrzine;fr_hdrzone;fr_imidazole;fr_imide;fr_isocyan;fr_isothiocyan;fr_ketone;fr_ketone_Topliss;fr_lactam;fr_lactone;fr_methoxy;fr_morpholine;fr_nitrile;fr_nitro;fr_nitro_arom;fr_nitro_arom_nonortho;fr_nitroso;fr_oxazole;fr_oxime;fr_para_hydroxylation;fr_phenol;fr_phenol_noOrthoHbond;fr_phos_acid;fr_phos_ester;fr_piperdine;fr_piperzine;fr_priamide;fr_prisulfonamd;fr_pyridine;fr_quatN;fr_sulfide;fr_sulfonamd;fr_sulfone;fr_term_acetylene;fr_tetrazole;fr_thiazole;fr_thiocyan;fr_thiophene;fr_unbrch_alkane;fr_urea
0;5.327438272;-0.743055556;5.327438272;0.586280864;0.634819092;380.18;355.988;379.0509057;125;1;0.070114395;-0.376667636;0.376667636;0.070114395;0.380952381;0.476190476;0.571428571;1.22222E-06;118.0719364;15.43502884;12.26805033;15.5830341;10.41421356;6.900537396;11.86251408;3.756713224;6.734846798;2.232050808;2.232050808;1.319479217;1.319479217;1.21012987;43039.33974;22.21012987;21.21012987;21.21012987;144.6806811;28.42117772;0;0;0;0;37.69471021;0;0;0;0;0;0;0;79.28258357;48.96133624;17.1545517;0;0;0;0;79.28258357;0;0;0;0;0;0;17.1545517;79.28258357;48.96133624;0;0;0;0;0;0;55.38;20.54015851;0;0;0;79.28258357;0;0;0;0;0;45.57572942;31.96462963;-0.743055556;0;0;0;0;0;0;7.03537037;9.840277778;1;21;0;6;0;1;1;0;0;0;6;0;9;0;0;1;1;1;1.4761;76.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;5.327438272;-0.743055556;5.327438272;0.586280864;0.634819092;380.18;355.988;379.0509057;125;1;0.070114395;-0.376667636;0.376667636;0.070114395;0.380952381;0.476190476;0.571428571;1.22222E-06;118.0719364;15.43502884;12.26805033;15.5830341;10.41421356;6.900537396;11.86251408;3.756713224;6.734846798;2.232050808;2.232050808;1.319479217;1.319479217;1.21012987;43039.33974;22.21012987;21.21012987;21.21012987;144.6806811;28.42117772;0;0;0;0;37.69471021;0;0;0;0;0;0;0;79.28258357;48.96133624;17.1545517;0;0;0;0;79.28258357;0;0;0;0;0;0;17.1545517;79.28258357;48.96133624;0;0;0;0;0;0;55.38;20.54015851;0;0;0;79.28258357;0;0;0;0;0;45.57572942;31.96462963;-0.743055556;0;0;0;0;0;0;7.03537037;9.840277778;1;21;0;6;0;1;1;0;0;0;6;0;9;0;0;1;1;1;1.4761;76.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.775541771;-0.743055556;5.775541771;0;0.46499932;582.389;548.117;581.1138999;201;1;0.1607909;-0.487297502;0.487297502;0.1607909;0.416666667;0.611111111;0.833333333;1.54091E-06;663.2573347;24.81549773;20.20334907;23.51833283;17.34686655;11.37173451;16.3337112;6.819285309;9.797418883;4.383280819;4.383280819;2.863453776;2.863453776;-1.10987013;69047752.27;32.91879127;23.03952437;15.21301498;230.5027134;43.37109547;26.42752786;22.99804733;0;0;37.69471021;0;0;0;0;24.26546827;24.26546827;0;52.85505572;63.91125398;17.1545517;0;0;0;0;79.28258357;48.53093655;0;22.99804733;18.94745182;0;22.99804733;17.1545517;84.75877541;39.48761033;0;0;48.53093655;0;0;0;105.34;20.54015851;0;0;5.476191836;102.2806309;0;0;0;48.53093655;0;55.04945533;45.34040586;-0.743055556;0;0;0;2.731740876;15.11566806;0;5.478851868;9.840277778;0.5;36;2;9;0;1;1;2;0;2;8;0;12;0;0;0;0;3;3.5338;133.4598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;11.21153345;-5.742151927;11.21153345;0;0.35687558;515.184;499.056;514.992996;147;3;-0.411509522;-0.411509522;0.411509522;0.411509522;0.925925926;1.555555556;2.148148148;9.1125E-07;870.1778972;15.68105364;13.43449655;17.06031968;11.09362673;6.831431626;14.37389341;5.361813882;16.03043288;4.063238315;14.85649438;3.087990524;11.93195692;-1.115194805;205315.515;23.9234379;7.719172907;3.095584582;155.9448582;21.90476734;0;0;0;0;134.8508895;0;0;0;0;0;0;0;0;68.31179115;11.77305942;0;17.42753087;0;0;0;59.24327542;0;0;10.56777645;0;0;0;39.33229821;17.6355553;35.19229014;0;42.25467734;0;11.77305942;0;225.33;28.77146851;10.41450605;0;32.68443477;11.04616579;10.79175451;1.663884921;18.47281857;30.70559597;4.983978521;7.221049248;21.85554138;-5.742151927;4.378945956;23.71065608;1.408424036;0;3.705255417;10.61666238;0;0;0;27;8;14;1;3;4;0;1;1;8;0;15;1;0;2;2;5;-4.03921;78.5682;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;5.327438272;-0.743055556;5.327438272;0.586280864;0.634819092;380.18;355.988;379.0509057;125;1;0.070114395;-0.376667636;0.376667636;0.070114395;0.380952381;0.476190476;0.571428571;1.22222E-06;118.0719364;15.43502884;12.26805033;15.5830341;10.41421356;6.900537396;11.86251408;3.756713224;6.734846798;2.232050808;2.232050808;1.319479217;1.319479217;1.21012987;43039.33974;22.21012987;21.21012987;21.21012987;144.6806811;28.42117772;0;0;0;0;37.69471021;0;0;0;0;0;0;0;79.28258357;48.96133624;17.1545517;0;0;0;0;79.28258357;0;0;0;0;0;0;17.1545517;79.28258357;48.96133624;0;0;0;0;0;0;55.38;20.54015851;0;0;0;79.28258357;0;0;0;0;0;45.57572942;31.96462963;-0.743055556;0;0;0;0;0;0;7.03537037;9.840277778;1;21;0;6;0;1;1;0;0;0;6;0;9;0;0;1;1;1;1.4761;76.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.327438272;-0.743055556;5.327438272;0.586280864;0.634819092;380.18;355.988;379.0509057;125;1;0.070114395;-0.376667636;0.376667636;0.070114395;0.380952381;0.476190476;0.571428571;1.22222E-06;118.0719364;15.43502884;12.26805033;15.5830341;10.41421356;6.900537396;11.86251408;3.756713224;6.734846798;2.232050808;2.232050808;1.319479217;1.319479217;1.21012987;43039.33974;22.21012987;21.21012987;21.21012987;144.6806811;28.42117772;0;0;0;0;37.69471021;0;0;0;0;0;0;0;79.28258357;48.96133624;17.1545517;0;0;0;0;79.28258357;0;0;0;0;0;0;17.1545517;79.28258357;48.96133624;0;0;0;0;0;0;55.38;20.54015851;0;0;0;79.28258357;0;0;0;0;0;45.57572942;31.96462963;-0.743055556;0;0;0;0;0;0;7.03537037;9.840277778;1;21;0;6;0;1;1;0;0;0;6;0;9;0;0;1;1;1;1.4761;76.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.327438272;-0.743055556;5.327438272;0.586280864;0.634819092;380.18;355.988;379.0509057;125;1;0.070114395;-0.376667636;0.376667636;0.070114395;0.380952381;0.476190476;0.571428571;1.22222E-06;118.0719364;15.43502884;12.26805033;15.5830341;10.41421356;6.900537396;11.86251408;3.756713224;6.734846798;2.232050808;2.232050808;1.319479217;1.319479217;1.21012987;43039.33974;22.21012987;21.21012987;21.21012987;144.6806811;28.42117772;0;0;0;0;37.69471021;0;0;0;0;0;0;0;79.28258357;48.96133624;17.1545517;0;0;0;0;79.28258357;0;0;0;0;0;0;17.1545517;79.28258357;48.96133624;0;0;0;0;0;0;55.38;20.54015851;0;0;0;79.28258357;0;0;0;0;0;45.57572942;31.96462963;-0.743055556;0;0;0;0;0;0;7.03537037;9.840277778;1;21;0;6;0;1;1;0;0;0;6;0;9;0;0;1;1;1;1.4761;76.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;6.367314815;-1.615740741;6.367314815;0.023935185;0.693818719;323.279;296.063;323.1490514;115;3;0.04663817;-0.381449382;0.381449382;0.04663817;0.904761905;1.476190476;1.904761905;2.7225E-07;360.9030914;15.13154574;13.4184264;14.97997921;10.06146151;7.896282162;10.3369093;6.527450216;10.18491193;3.404464614;7.982947561;2.465248323;6.567252871;-0.145714286;81672.37471;17.2119716;8.477226355;6.237398417;136.1451639;4.736862954;0;0;0;0;105.6927324;0;0;0;0;0;12.84164325;13.21376393;0;26.31434065;0;0;0;0;47.65913404;13.21376393;49.29776389;0;0;0;0;0;0;18.81481474;26.31434065;12.84164325;33.61285484;36.45612064;8.445228379;0;0;18.46;18.25909457;0;0;5.601050811;8.445228379;13.21376393;12.84164325;0;0;70.06897549;8.055246076;12.44439815;-1.615740741;0;0;-0.023935185;0;0;20.30611111;8.4725;0;0.555555556;21;0;2;2;1;3;0;0;0;2;0;3;3;0;1;1;3;4.81288;84.411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;12.3341078;-0.257657687;12.3341078;0.257657687;0.306112289;581.612;560.444;580.9965332;179;9;0.252565743;-0.34791649;0.34791649;0.252565743;0.666666667;1.055555556;1.388888889;5.25667E-07;1154.521102;26.07877502;19.02395734;23.85149648;17.25692795;10.90370131;13.43825741;7.743102381;10.48028698;5.124184847;7.54371181;3.151237882;4.332858594;-2.065714286;109693536.1;28.50474608;14.02607495;8.230267336;245.7091413;10.63357721;0;0;0;11.81435946;49.65175203;9.589074368;0;0;0;86.913359;35.39237126;13.08951281;30.70883689;30.02452875;62.32951605;0;10.63357721;0;36.8940609;0;107.9111601;0;0;10.63357721;0;0;50.51515659;11.81435946;33.52496719;12.84164325;31.84288033;92.3976448;4.22261419;0;0;58.2;0;9.589074368;0;11.81435946;48.02096389;11.12690298;0;36.39820241;24.26546827;56.06271505;50.51515659;0.685185185;22.80805502;26.43034944;5.685819257;2.651141782;-0.515315375;17.7319381;8.481481481;0.708011781;0;0.111111111;36;2;4;1;0;1;3;0;3;2;2;9;6;0;0;0;4;7.07228;146.5844;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;10.75071177;-1.590277778;10.75071177;0.110780896;0.557972916;370.259;353.123;369.0639791;127;3;0.304143672;-0.481195045;0.481195045;0.304143672;1.083333333;1.583333333;1.916666667;6.48E-07;530.3369112;17.62310958;12.81629042;14.21298571;11.65139701;7.009851095;8.150248029;4.645614624;5.111179723;2.895829752;2.99086283;1.90927993;1.90927993;-1.805584416;215224.6097;20.23947196;12.59698458;9.359548149;147.0284696;5.106527395;0;0;0;0;36.06353501;19.66240396;0;0;0;12.13273414;24.26546827;32.02795636;17.80867761;39.9952943;5.969305288;0;14.86786677;0;19.51033443;6.544756406;60.17974554;0;0;0;0;0;0;32.48845586;47.97827972;0;17.80867761;48.79188955;0;0;0;115.35;22.9620104;4.794537184;0;6.420821623;19.63426922;11.38785599;0;12.39368714;41.29811214;13.78062343;14.39538562;11.6875;-1.590277778;21.34670603;17.36440161;1.849666478;-0.794405812;11.46132018;3.593868575;1.706220711;0;0.266666667;24;1;8;0;0;0;0;2;2;5;1;9;8;0;0;0;2;1.645;77.2988;1;0;0;0;0;2;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
